Date,RetentionRate,ChurnRate,LifetimeValue,NPS,CSAT,ActiveUsers,ConversionRate,CustomerAcquisitionCost,OnboardingCompletionRate,ReferralRate
2025-04-15 14:35:39.441569,87.92276758770191,14.569003343351204,656.1898279302603,3,4,2455,3.058055796630417,444.53376150079106,72.1967488991711,11.534938725834909
2025-03-16 14:35:39.441586,86.02739868061336,6.225383837041636,306.13206492892823,0,2,1543,4.079350773936307,335.7986034877505,74.74263512382461,9.575872107974261
2025-02-14 14:35:39.441589,63.12154436893368,8.343218733706504,583.9850721735284,6,5,4293,4.584149018825131,464.05873328491913,87.43198495357981,11.623669872437599
2025-01-15 14:35:39.441591,66.00581749417681,12.164992297744769,923.0948914500484,3,4,4852,2.096511812050954,373.29986451142565,87.40115263513557,12.221355127653847
2024-12-16 14:35:39.441593,88.8475510961025,6.412559267742788,976.8471418210723,1,3,1810,3.056418881413325,299.34152080992135,70.31786858425676,9.27538554779026
2024-11-16 14:35:39.441595,80.81477656072965,13.432842527835223,252.82482075765392,6,2,4351,2.479627781177189,345.3922245235694,73.01206778580291,17.29708907597031
2024-10-17 14:35:39.441597,82.8109189183672,11.706121142841539,506.9820224992845,3,1,3210,3.0871093721589715,387.80536732122226,73.03620016989771,18.133106051063223
2024-09-17 14:35:39.441600,69.79345119242767,12.74704916991343,968.4910315988428,4,5,585,2.4647593691700065,387.1831065491426,83.1893476750452,12.104462244156696
2024-08-18 14:35:39.441602,85.85103029875079,12.245586499940671,920.0799175016284,2,2,443,4.5146960925467825,420.53104516233617,81.05975796903948,5.333865503807093
2024-07-19 14:35:39.441605,67.34407082904903,9.37630358313358,797.7904992701652,5,5,2828,3.0683135135887873,357.2520835182286,88.13935188717937,14.328772712036098
2024-06-19 14:35:39.441607,80.42024253998632,10.134687122417585,870.2824595376726,0,5,637,1.1210839638572323,278.50229909960774,87.60054793234667,5.688574708287764
2024-05-20 14:35:39.441608,82.18330824256866,7.540110924633609,236.1898550611597,6,1,3618,2.69845588293477,493.89645087753087,88.78440841884411,19.25449167549701
2024-04-20 14:35:39.441611,77.63270616475921,12.475441153136828,990.0410698955122,1,1,4392,1.887331717079948,490.3005629334347,87.40755273841356,19.17468813654554
2024-03-21 14:35:39.441612,87.19180912108662,12.919846167877557,492.07911937173975,4,2,4284,2.5151636376429747,342.2248450098344,83.2341643148159,16.34545456766153
2024-02-20 14:35:39.441614,77.13081243890777,5.753485601374832,650.1975681492432,2,3,3033,2.7405276353010892,102.37855688799418,86.95280564286679,16.020061781666453
2024-01-21 14:35:39.441616,78.59879978976493,7.705700796683522,374.0004715767888,8,1,1987,3.2370909089969997,166.835666673782,74.03470614292003,5.375568646195465
2023-12-22 14:35:39.441618,87.73389551409124,5.88879434651442,784.6929922985123,7,3,2559,4.732495154035235,58.22422703175691,88.52845149205598,14.862725078547147
2023-11-22 14:35:39.441620,67.06209061907023,13.819994740434598,707.0773206679123,8,2,3451,1.0703329040708685,404.74633096266825,70.86068728043024,17.418415289605008
2023-10-23 14:35:39.441622,69.21052029866067,10.286228189411057,312.0421830273581,10,2,388,4.338344391733312,382.5474590377671,83.32324348960344,11.262225457109075
2023-09-23 14:35:39.441624,73.40565448926992,6.523809456290007,360.5278428244067,4,5,4009,2.551044212836453,153.3003937944643,87.13053724774731,18.56206197964337
2023-08-24 14:35:39.441626,87.97609252778564,14.459101043594485,799.3826151213709,0,3,714,1.2291476583013456,212.53174076673534,87.73133413274212,17.122009015686757
2023-07-25 14:35:39.441628,88.03837712787512,9.050940945537041,174.3617329093738,0,5,4214,3.0584155361306316,394.08027087627136,72.2173768672456,19.31352285776842
2023-06-25 14:35:39.441630,73.53885246633021,7.405895079836121,973.5507077174574,5,4,4165,1.5125640577777242,348.83222896881466,83.45981574497212,9.21069301345782
